,자식마명,부마원,부마달러,모마원,모마달러
476,['금빛여전사'],,"3,084,278USD ","98,230,000원", 
477,['새내황제'],,"1,810,805USD ","226,930,000원", 
478,['삼상'],,"1,103,496USD ",,"17,358USD "
479,['윈디러시'],,"804,090USD ","74,582,000원", 
480,['코브라볼'],,"339,984USD ","125,820,000원", 
481,['그린폭주'],,"583,280USD ","50,800,000원", 
482,['제다이'],,"1,037,810USD ","51,200,000원", 
483,['바이스로이'],,"583,280USD ","195,970,000원", 
484,['큐피드포인트'],,"669,260USD ",,"13,526USD "
485,['걸작우먼'],,"1,236,820USD ","55,652,000원", 
